[: D, (49, 10)
10: C, (49, 11)
]: D, (49, 13)
;: D, (49, 14)
a: I, (50, 5)
[: D, (50, 6)
0: C, (50, 7)
]: D, (50, 8)
=: O, (50, 9)
4: C, (50, 10)
;: D, (50, 11)
a: I, (50, 12)
[: D, (50, 13)
1: C, (50, 14)
]: D, (50, 15)
=: O, (50, 16)
3: C, (50, 17)
;: D, (50, 18)
a: I, (50, 19)
[: D, (50, 20)
2: C, (50, 21)
]: D, (50, 22)
=: O, (50, 23)
9: C, (50, 24)
;: D, (50, 25)
a: I, (50, 26)
[: D, (50, 27)
3: C, (50, 28)
]: D, (50, 29)
=: O, (50, 30)
2: C, (50, 31)
;: D, (50, 32)
a: I, (50, 33)
[: D, (50, 34)
4: C, (50, 35)
]: D, (50, 36)
=: O, (50, 37)
0: C, (50, 38)
;: D, (50, 39)
a: I, (51, 5)
[: D, (51, 6)
5: C, (51, 7)
]: D, (51, 8)
=: O, (51, 9)
1: C, (51, 10)
;: D, (51, 11)
a: I, (51, 12)
[: D, (51, 13)
6: C, (51, 14)
]: D, (51, 15)
=: O, (51, 16)
6: C, (51, 17)
;: D, (51, 18)
a: I, (51, 19)
[: D, (51, 20)
7: C, (51, 21)
]: D, (51, 22)
=: O, (51, 23)
5: C, (51, 24)
;: D, (51, 25)
a: I, (51, 26)
[: D, (51, 27)
8: C, (51, 28)
]: D, (51, 29)
=: O, (51, 30)
7: C, (51, 31)
;: D, (51, 32)
a: I, (51, 33)
[: D, (51, 34)
9: C, (51, 35)
]: D, (51, 36)
=: O, (51, 37)
8: C, (51, 38)
;: D, (51, 39)
int: K, (52, 5)
i: I, (52, 9)
;: D, (52, 10)
i: I, (53, 5)
=: O, (53, 7)
0: C, (53, 9)
;: D, (53, 10)
int: K, (54, 5)
tmp: I, (54, 9)
;: D, (54, 12)
tmp: I, (55, 5)
=: O, (55, 9)
9: C, (55, 11)
;: D, (55, 12)
i: I, (56, 5)
=: O, (56, 7)
QuickSort: I, (56, 9)
(: D, (56, 18)
a: I, (56, 19)
,: D, (56, 20)
i: I, (56, 22)
,: D, (56, 23)
tmp: I, (56, 25)
): D, (56, 28)
;: D, (56, 29)
while: K, (57, 5)
(: D, (57, 11)
i: I, (57, 12)
<: O, (57, 14)
n: I, (57, 16)
): D, (57, 17)
{: D, (57, 19)
int: K, (58, 9)
tmp: I, (58, 13)
;: D, (58, 16)
tmp: I, (59, 9)
=: O, (59, 13)
a: I, (59, 15)
[: D, (59, 16)
i: I, (59, 17)
]: D, (59, 18)
;: D, (59, 19)
putint: I, (60, 9)
(: D, (60, 15)
tmp: I, (60, 16)
): D, (60, 19)
;: D, (60, 20)
tmp: I, (61, 9)
=: O, (61, 13)
10: C, (61, 15)
;: D, (61, 17)
putch: I, (62, 9)
(: D, (62, 14)
tmp: I, (62, 15)
): D, (62, 18)
;: D, (62, 19)
i: I, (63, 9)
=: O, (63, 11)
i: I, (63, 13)
+: O, (63, 15)
1: C, (63, 17)
;: D, (63, 18)
}: D, (64, 5)
return: K, (65, 5)
0: C, (65, 12)
;: D, (65, 13)
}: D, (66, 1)
